Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.00530867	3	1	0	LastDelay	0.00530867	5308.67	1	6
0.00530867	3	1	0	FullDelay	0.00530867	5308.67	1	6
0.00530874	12	1	0	LastDelay	0.00530874	5308.74	1	6
0.00530874	12	1	0	FullDelay	0.00530874	5308.74	1	6
0.00573977	9	1	0	LastDelay	0.00573977	5739.77	1	6
0.00573977	9	1	0	FullDelay	0.00573977	5739.77	1	6
0.101357	10	1	2	LastDelay	0.00135723	1357.23	1	5
0.101357	10	1	2	FullDelay	0.00135723	1357.23	1	5
0.302922	9	1	3	LastDelay	0.00292206	2922.07	1	9
0.302922	9	1	3	FullDelay	0.00292206	2922.07	1	9
0.303731	3	1	3	LastDelay	0.00373051	3730.51	1	12
0.303731	3	1	3	FullDelay	0.00373051	3730.51	1	12
0.303731	12	1	3	LastDelay	0.00373053	3730.53	1	12
0.303731	12	1	3	FullDelay	0.00373053	3730.53	1	12
0.305901	6	1	3	LastDelay	0.00590071	5900.71	1	8
0.305901	6	1	3	FullDelay	0.00590071	5900.71	1	8
0.305901	2	1	3	LastDelay	0.00590079	5900.79	1	8
0.305901	2	1	3	FullDelay	0.00590079	5900.79	1	8
0.353779	5	1	7	LastDelay	0.00377873	3778.73	1	9
0.353779	5	1	7	FullDelay	0.00377873	3778.73	1	9
0.4	10	1	7	LastDelay	0	0	1	0
0.4	10	1	7	FullDelay	0	0	1	0
0.403571	2	1	0	LastDelay	0.00357121	3571.21	1	6
0.403571	2	1	0	FullDelay	0.403571	403571	2	6
0.40402	6	1	0	LastDelay	0.00402047	4020.47	1	6
0.40402	6	1	0	FullDelay	0.40402	404020	2	6
0.455084	15	1	9	LastDelay	0.00508438	5084.38	1	5
0.455084	15	1	9	FullDelay	0.00508438	5084.38	1	5
0.504891	10	1	0	LastDelay	0.0548914	54891.4	1	11
0.504891	10	1	0	FullDelay	0.504891	504891	3	11
0.7	5	1	9	LastDelay	0	0	1	0
0.7	5	1	9	FullDelay	0	0	1	0
0.7	10	1	9	LastDelay	0	0	1	0
0.7	10	1	9	FullDelay	0	0	1	0
0.951719	10	1	10	LastDelay	0.00171857	1718.57	1	9
0.951719	10	1	10	FullDelay	0.00171857	1718.57	1	9
0.952422	15	1	10	LastDelay	0.102422	102422	1	9
0.952422	15	1	10	FullDelay	0.102422	102422	1	9
1.05	5	1	10	LastDelay	0	0	1	0
1.05	5	1	10	FullDelay	0	0	1	0
1.2	10	1	11	LastDelay	0	0	1	0
1.2	10	1	11	FullDelay	0	0	1	0
1.30265	10	1	3	LastDelay	0.00264737	2647.37	1	7
1.30265	10	1	3	FullDelay	1.15265	1.15265e+06	5	7
1.35189	15	1	7	LastDelay	0.00189237	1892.37	1	3
1.35189	15	1	7	FullDelay	1.00189	1.00189e+06	2	3
1.50464	10	1	13	LastDelay	0.00464295	4642.95	1	6
1.50464	10	1	13	FullDelay	0.00464295	4642.95	1	6
1.55	5	1	14	LastDelay	0	0	1	0
1.55	5	1	14	FullDelay	0	0	1	0
1.55151	5	1	1	LastDelay	0.40151	401510	1	3
1.55151	5	1	1	FullDelay	1.50151	1.50151e+06	4	3
1.60473	10	1	4	LastDelay	0.00472626	4726.26	1	5
1.60473	10	1	4	FullDelay	1.35473	1.35473e+06	4	5
1.60701	5	1	4	LastDelay	0.307005	307005	1	5
1.60701	5	1	4	FullDelay	1.40701	1.40701e+06	3	5
1.70563	10	1	8	LastDelay	0.00562539	5625.39	1	12
1.70563	10	1	8	FullDelay	1.05563	1.05563e+06	3	12
1.75	10	1	14	LastDelay	0	0	1	0
1.75	10	1	14	FullDelay	0	0	1	0
2	10	1	16	LastDelay	0	0	1	0
2	10	1	16	FullDelay	0	0	1	0
2.00238	15	1	24	LastDelay	0.00238277	2382.77	1	7
2.00238	15	1	24	FullDelay	0.00238277	2382.77	1	7
2.1	5	1	18	LastDelay	0	0	1	0
2.1	5	1	18	FullDelay	0	0	1	0
2.15089	15	1	2	LastDelay	0.00088972	889.72	1	2
2.15089	15	1	2	FullDelay	2.05089	2.05089e+06	4	2
2.25	10	1	18	LastDelay	0	0	1	0
2.25	10	1	18	FullDelay	0	0	1	0
2.25189	15	1	3	LastDelay	0.0518915	51891.5	1	7
2.25189	15	1	3	FullDelay	2.10189	2.10189e+06	4	7
2.25238	5	1	3	LastDelay	0.00237734	2377.34	1	5
2.25238	5	1	3	FullDelay	2.10238	2.10238e+06	6	5
2.30047	10	1	1	LastDelay	0.000467123	467.123	1	2
2.30047	10	1	1	FullDelay	2.25047	2.25047e+06	9	2
2.45259	5	1	11	LastDelay	0.00258557	2585.57	1	6
2.45259	5	1	11	FullDelay	1.05259	1.05259e+06	3	6
2.45259	15	1	11	LastDelay	0.00258583	2585.83	1	6
2.45259	15	1	11	FullDelay	1.55259	1.55259e+06	2	6
2.5	3	1	20	LastDelay	0	0	1	0
2.5	3	1	20	FullDelay	0	0	1	0
2.5	9	1	20	LastDelay	0	0	1	0
2.5	9	1	20	FullDelay	0	0	1	0
2.5	12	1	20	LastDelay	0	0	1	0
2.5	12	1	20	FullDelay	0	0	1	0
2.50275	10	1	19	LastDelay	0.00274619	2746.19	1	5
2.50275	10	1	19	FullDelay	0.00274619	2746.19	1	5
2.50648	15	1	19	LastDelay	0.756478	756478	1	9
2.50648	15	1	19	FullDelay	0.756478	756478	1	9
2.55047	15	1	13	LastDelay	0.000466857	466.857	1	2
2.55047	15	1	13	FullDelay	1.10047	1.10047e+06	2	2
2.55141	5	1	13	LastDelay	0.00140908	1409.08	1	4
2.55141	5	1	13	FullDelay	1.05141	1.05141e+06	2	4
2.6027	10	1	6	LastDelay	0.0026952	2695.2	1	7
2.6027	10	1	6	FullDelay	2.2527	2.2527e+06	6	7
2.6065	15	1	14	LastDelay	0.00649648	6496.48	1	5
2.6065	15	1	14	FullDelay	1.1065	1.1065e+06	2	5
2.61041	5	1	6	LastDelay	0.260412	260412	1	8
2.61041	5	1	6	FullDelay	2.31041	2.31041e+06	4	8
2.65	5	1	19	LastDelay	0	0	1	0
2.65	5	1	19	FullDelay	0	0	1	0
2.65416	10	1	15	LastDelay	0.20416	204160	1	9
2.65416	10	1	15	FullDelay	0.70416	704160	2	9
2.65607	5	1	15	LastDelay	0.0560714	56071.4	1	4
2.65607	5	1	15	FullDelay	0.706071	706071	2	4
2.70047	15	1	16	LastDelay	0.000467285	467.285	1	2
2.70047	15	1	16	FullDelay	1.10047	1.10047e+06	2	2
2.8	10	1	22	LastDelay	0	0	1	0
2.8	10	1	22	FullDelay	0	0	1	0
2.80208	15	1	18	LastDelay	0.0020789	2078.9	1	6
2.80208	15	1	18	FullDelay	1.10208	1.10208e+06	2	6
3	10	1	23	LastDelay	0	0	1	0
3	10	1	23	FullDelay	0	0	1	0
3.15	5	1	22	LastDelay	0	0	1	0
3.15	5	1	22	FullDelay	0	0	1	0
3.25765	15	1	31	LastDelay	0.00764842	7648.41	1	5
3.25765	15	1	31	FullDelay	0.00764842	7648.41	1	5
3.3	10	1	26	LastDelay	0	0	1	0
3.3	10	1	26	FullDelay	0	0	1	0
3.30161	5	1	0	LastDelay	0.101611	101611	1	5
3.30161	5	1	0	FullDelay	3.30161	3.30161e+06	8	5
3.45233	10	1	5	LastDelay	0.102329	102329	1	6
3.45233	10	1	5	FullDelay	3.15233	3.15233e+06	10	6
3.45233	5	1	5	LastDelay	0.152329	152329	1	6
3.45233	5	1	5	FullDelay	3.20233	3.20233e+06	6	6
3.50055	15	1	6	LastDelay	0.000546667	546.667	1	3
3.50055	15	1	6	FullDelay	3.20055	3.20055e+06	5	3
3.55	5	1	23	LastDelay	0	0	1	0
3.55	5	1	23	FullDelay	0	0	1	0
3.7	10	1	29	LastDelay	0	0	1	0
3.7	10	1	29	FullDelay	0	0	1	0
3.80342	10	1	17	LastDelay	0.00341602	3416.02	1	9
3.80342	10	1	17	FullDelay	1.60342	1.60342e+06	5	9
3.85252	5	1	24	LastDelay	0.00252405	2524.05	1	5
3.85252	5	1	24	FullDelay	0.00252405	2524.05	1	5
3.85252	10	1	24	LastDelay	0.652524	652524	1	5
3.85252	10	1	24	FullDelay	0.652524	652524	1	5
3.90372	15	1	23	LastDelay	0.0037155	3715.5	1	7
3.90372	15	1	23	FullDelay	1.95372	1.95372e+06	2	7
3.95395	10	1	25	LastDelay	0.00394948	3949.48	1	4
3.95395	10	1	25	FullDelay	0.703949	703949	2	4
3.95524	15	1	25	LastDelay	0.00524215	5242.15	1	8
3.95524	15	1	25	FullDelay	1.00524	1.00524e+06	2	8
4.05	10	1	31	LastDelay	0	0	1	0
4.05	10	1	31	FullDelay	0	0	1	0
4.05237	5	1	16	LastDelay	0.00236954	2369.54	1	6
4.05237	5	1	16	FullDelay	2.05237	2.05237e+06	4	6
4.15	5	1	25	LastDelay	0	0	1	0
4.15	5	1	25	FullDelay	0	0	1	0
4.20735	6	1	37	LastDelay	0.00734893	7348.93	1	11
4.20735	6	1	37	FullDelay	0.00734893	7348.93	1	11
4.20986	2	1	37	LastDelay	0.00986156	9861.56	1	7
4.20986	2	1	37	FullDelay	0.00986156	9861.56	1	7
4.25595	15	1	27	LastDelay	0.205955	205955	1	11
4.25595	15	1	27	FullDelay	1.20595	1.20595e+06	2	11
