Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.00227394	12	1	0	LastDelay	0.00227394	2273.94	1	6
0.00227394	12	1	0	FullDelay	0.00227394	2273.94	1	6
0.00334325	9	1	0	LastDelay	0.00334325	3343.25	1	4
0.00334325	9	1	0	FullDelay	0.00334325	3343.25	1	4
0.00334346	3	1	0	LastDelay	0.00334346	3343.46	1	4
0.00334346	3	1	0	FullDelay	0.00334346	3343.46	1	4
0.00517413	6	1	0	LastDelay	0.00517413	5174.14	1	5
0.00517413	6	1	0	FullDelay	0.00517413	5174.14	1	5
0.00947089	2	1	0	LastDelay	0.00947089	9470.89	1	5
0.00947089	2	1	0	FullDelay	0.00947089	9470.89	1	5
0.901277	9	1	7	LastDelay	0.00127679	1276.79	1	8
0.901277	9	1	7	FullDelay	0.00127679	1276.79	1	8
0.902614	3	1	7	LastDelay	0.00261362	2613.62	1	11
0.902614	3	1	7	FullDelay	0.00261362	2613.62	1	11
0.902614	12	1	7	LastDelay	0.00261364	2613.64	1	11
0.902614	12	1	7	FullDelay	0.00261364	2613.64	1	11
1.30477	2	1	10	LastDelay	0.00477131	4771.31	1	8
1.30477	2	1	10	FullDelay	0.00477131	4771.31	1	8
1.7	3	1	10	LastDelay	0	0	1	0
1.7	3	1	10	FullDelay	0	0	1	0
1.7	9	1	10	LastDelay	0	0	1	0
1.7	9	1	10	FullDelay	0	0	1	0
1.7	12	1	10	LastDelay	0	0	1	0
1.7	12	1	10	FullDelay	0	0	1	0
2.00212	9	1	8	LastDelay	0.502118	502118	1	11
2.00212	9	1	8	FullDelay	0.502118	502118	1	11
2.00212	3	1	8	LastDelay	0.502118	502118	1	11
2.00212	3	1	8	FullDelay	0.502118	502118	1	11
2.00338	12	1	8	LastDelay	0.503381	503381	1	9
2.00338	12	1	8	FullDelay	0.503381	503381	1	9
2.00674	6	1	8	LastDelay	1.00674	1.00674e+06	1	10
2.00674	6	1	8	FullDelay	1.00674	1.00674e+06	1	10
2.10134	9	1	9	LastDelay	0.501338	501338	1	8
2.10134	9	1	9	FullDelay	0.501338	501338	1	8
2.10134	3	1	9	LastDelay	0.501339	501339	1	8
2.10134	3	1	9	FullDelay	0.501339	501339	1	8
2.20063	9	1	5	LastDelay	0.000625014	625.014	1	4
2.20063	9	1	5	FullDelay	1.60063	1.60063e+06	3	4
2.20176	3	1	5	LastDelay	0.00176192	1761.92	1	8
2.20176	3	1	5	FullDelay	1.60176	1.60176e+06	3	8
2.4	3	1	11	LastDelay	0	0	1	0
2.4	3	1	11	FullDelay	0	0	1	0
2.4	9	1	11	LastDelay	0	0	1	0
2.4	9	1	11	FullDelay	0	0	1	0
2.4	12	1	11	LastDelay	0	0	1	0
2.4	12	1	11	FullDelay	0	0	1	0
2.40255	12	1	5	LastDelay	0.20255	202550	1	6
2.40255	12	1	5	FullDelay	1.80255	1.80255e+06	3	6
2.60047	6	1	7	LastDelay	0.000467137	467.137	1	2
2.60047	6	1	7	FullDelay	1.70047	1.70047e+06	2	2
2.9	3	1	15	LastDelay	0	0	1	0
2.9	3	1	15	FullDelay	0	0	1	0
2.9	9	1	15	LastDelay	0	0	1	0
2.9	9	1	15	FullDelay	0	0	1	0
2.90168	12	1	9	LastDelay	0.00167591	1675.91	1	2
2.90168	12	1	9	FullDelay	1.30168	1.30168e+06	2	2
3.10047	9	1	3	LastDelay	0.00046653	466.53	1	2
3.10047	9	1	3	FullDelay	2.80047	2.80047e+06	4	2
3.3	12	1	15	LastDelay	0	0	1	0
3.3	12	1	15	FullDelay	0	0	1	0
3.5	3	1	17	LastDelay	0	0	1	0
3.5	3	1	17	FullDelay	0	0	1	0
3.5	9	1	17	LastDelay	0	0	1	0
3.5	9	1	17	FullDelay	0	0	1	0
3.60068	9	1	1	LastDelay	0.000684217	684.217	1	3
3.60068	9	1	1	FullDelay	3.50068	3.50068e+06	6	3
3.60068	3	1	1	LastDelay	0.000684421	684.421	1	3
3.60068	3	1	1	FullDelay	3.50068	3.50068e+06	6	3
3.80047	9	1	12	LastDelay	0.000467189	467.189	1	2
3.80047	9	1	12	FullDelay	1.20047	1.20047e+06	2	2
3.90047	3	1	12	LastDelay	0.000467386	467.386	1	2
3.90047	3	1	12	FullDelay	1.30047	1.30047e+06	2	2
4.1	9	1	18	LastDelay	0	0	1	0
4.1	9	1	18	FullDelay	0	0	1	0
4.2	3	1	18	LastDelay	0	0	1	0
4.2	3	1	18	FullDelay	0	0	1	0
4.3	12	1	18	LastDelay	0	0	1	0
4.3	12	1	18	FullDelay	0	0	1	0
4.90047	9	1	22	LastDelay	0.00046729	467.29	1	2
4.90047	9	1	22	FullDelay	0.00046729	467.29	1	2
5.4	3	1	25	LastDelay	0	0	1	0
5.4	3	1	25	FullDelay	0	0	1	0
5.9	9	1	25	LastDelay	0	0	1	0
5.9	9	1	25	FullDelay	0	0	1	0
5.9	12	1	25	LastDelay	0	0	1	0
5.9	12	1	25	FullDelay	0	0	1	0
6.60047	3	1	19	LastDelay	0.400468	400468	1	2
6.60047	3	1	19	FullDelay	1.80047	1.80047e+06	2	2
6.60119	9	1	19	LastDelay	0.00118649	1186.49	1	5
6.60119	9	1	19	FullDelay	2.00119	2.00119e+06	3	5
6.9	3	1	29	LastDelay	0	0	1	0
6.9	3	1	29	FullDelay	0	0	1	0
6.9	9	1	26	LastDelay	0	0	1	0
6.9	9	1	26	FullDelay	0	0	1	0
7.20285	6	1	61	LastDelay	0.20285	202850	1	10
7.20285	6	1	61	FullDelay	0.20285	202850	1	10
7.20285	2	1	61	LastDelay	0.00285048	2850.48	1	10
7.20285	2	1	61	FullDelay	0.00285048	2850.48	1	10
7.60275	9	1	4	LastDelay	0.502745	502745	1	11
7.60275	9	1	4	FullDelay	7.10275	7.10275e+06	8	11
7.60275	12	1	4	LastDelay	1.30275	1.30275e+06	1	11
7.60275	12	1	4	FullDelay	7.10275	7.10275e+06	7	11
7.70419	2	1	5	LastDelay	0.00418533	4185.33	1	6
7.70419	2	1	5	FullDelay	7.10419	7.10419e+06	3	6
7.8	12	1	29	LastDelay	0	0	1	0
7.8	12	1	29	FullDelay	0	0	1	0
7.90047	9	1	28	LastDelay	0.00046737	467.37	1	2
7.90047	9	1	28	FullDelay	0.00046737	467.37	1	2
7.90089	2	1	7	LastDelay	0.000890624	890.624	1	3
7.90089	2	1	7	FullDelay	7.00089	7.00089e+06	3	3
8.10055	9	1	6	LastDelay	0.000546535	546.535	1	3
8.10055	9	1	6	FullDelay	7.30055	7.30055e+06	8	3
8.10055	3	1	6	LastDelay	0.800547	800547	1	3
8.10055	3	1	6	FullDelay	7.30055	7.30055e+06	6	3
8.40264	9	1	13	LastDelay	0.202644	202644	1	8
8.40264	9	1	13	FullDelay	5.70264	5.70264e+06	6	8
8.40264	12	1	13	LastDelay	0.00264444	2644.44	1	8
8.40264	12	1	13	FullDelay	5.30264	5.30264e+06	5	8
8.80047	3	1	24	LastDelay	0.700467	700467	1	2
