Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0151663	12	1	0	LastDelay	0.0151663	15166.3	1	6
0.0151663	12	1	0	FullDelay	0.0151663	15166.3	1	6
0.02127	9	1	0	LastDelay	0.02127	21270	1	6
0.02127	9	1	0	FullDelay	0.02127	21270	1	6
0.906026	12	1	7	LastDelay	0.00602577	6025.77	1	8
0.906026	12	1	7	FullDelay	0.00602577	6025.77	1	8
1.40869	12	1	5	LastDelay	0.00868776	8687.76	1	7
1.40869	12	1	5	FullDelay	0.808688	808688	2	7
1.60112	9	1	13	LastDelay	0.00111731	1117.31	1	4
1.60112	9	1	13	FullDelay	0.00111731	1117.31	1	4
2.30328	9	1	7	LastDelay	0.00328086	3280.86	1	11
2.30328	9	1	7	FullDelay	1.40328	1.40328e+06	2	11
2.90348	12	1	22	LastDelay	0.00348348	3483.48	1	5
2.90348	12	1	22	FullDelay	0.00348348	3483.48	1	5
3.60308	12	1	9	LastDelay	0.00308075	3080.75	1	10
3.60308	12	1	9	FullDelay	2.00308	2.00308e+06	2	10
5.7045	9	1	43	LastDelay	0.00449538	4495.38	1	12
5.7045	9	1	43	FullDelay	0.00449538	4495.38	1	12
6.00201	9	1	3	LastDelay	0.00201231	2012.31	1	4
6.00201	9	1	3	FullDelay	5.70201	5.70201e+06	4	4
6.20176	9	1	5	LastDelay	0.00176188	1761.88	1	5
6.20176	9	1	5	FullDelay	5.60176	5.60176e+06	3	5
7.90707	9	1	24	LastDelay	0.00707463	7074.63	1	9
7.90707	9	1	24	FullDelay	4.10707	4.10707e+06	2	9
8.10214	12	1	56	LastDelay	0.00214168	2141.68	1	7
8.10214	12	1	56	FullDelay	0.00214168	2141.68	1	7
8.50273	9	1	30	LastDelay	0.00272598	2725.98	1	4
8.50273	9	1	30	FullDelay	4.10273	4.10273e+06	2	4
8.60604	9	1	31	LastDelay	0.00603935	6039.35	1	4
8.60604	9	1	31	FullDelay	4.10604	4.10604e+06	2	4
9.101	9	1	36	LastDelay	0.000998551	998.551	1	2
9.101	9	1	36	FullDelay	4.101	4.101e+06	2	2
10.1015	9	1	48	LastDelay	0.00153951	1539.52	1	4
10.1015	9	1	48	FullDelay	0.00153951	1539.52	1	4
10.5005	9	1	6	LastDelay	0.00047053	470.53	1	2
10.5005	9	1	6	FullDelay	9.70047	9.70047e+06	4	2
11.1143	9	1	14	LastDelay	0.0143082	14308.2	1	9
11.1143	9	1	14	FullDelay	8.31431	8.31431e+06	3	9
11.4016	9	1	17	LastDelay	0.00163177	1631.77	1	3
11.4016	9	1	17	FullDelay	8.30163	8.30163e+06	3	3
12.5067	12	1	48	LastDelay	0.00667039	6670.39	1	5
12.5067	12	1	48	FullDelay	5.20667	5.20667e+06	2	5
13.2078	9	1	39	LastDelay	0.00780896	7808.96	1	7
13.2078	9	1	39	FullDelay	7.90781	7.90781e+06	3	7
15.7022	9	1	67	LastDelay	0.00223573	2235.73	1	4
15.7022	9	1	67	FullDelay	0.00223573	2235.73	1	4
16.0009	9	1	4	LastDelay	0.000859823	859.823	1	2
16.0009	9	1	4	FullDelay	15.5009	1.55009e+07	5	2
17.1038	12	1	96	LastDelay	0.00379261	3792.61	1	5
17.1038	12	1	96	FullDelay	0.00379261	3792.61	1	5
18.4024	9	1	38	LastDelay	0.00238373	2383.73	1	7
18.4024	9	1	38	FullDelay	13.2024	1.32024e+07	4	7
18.9005	9	1	45	LastDelay	0.00054573	545.73	1	3
18.9005	9	1	45	FullDelay	9.10055	9.10055e+06	3	3
20.6007	9	1	63	LastDelay	0.00068447	684.47	1	2
20.6007	9	1	63	FullDelay	5.30068	5.30068e+06	2	2
22.3118	12	1	58	LastDelay	0.0118284	11828.4	1	11
22.3118	12	1	58	FullDelay	9.01183	9.01183e+06	2	11
24.1044	9	1	100	LastDelay	0.0043885	4388.5	1	4
24.1044	9	1	100	FullDelay	0.0043885	4388.5	1	4
24.6012	12	1	81	LastDelay	0.00118877	1188.77	1	4
24.6012	12	1	81	FullDelay	9.00119	9.00119e+06	2	4
25.8065	9	1	26	LastDelay	0.00649533	6495.33	1	9
25.8065	9	1	26	FullDelay	21.8065	2.18065e+07	5	9
26.0022	12	1	97	LastDelay	0.00219091	2190.91	1	6
26.0022	12	1	97	FullDelay	0.00219091	2190.91	1	6
26.2005	9	1	32	LastDelay	0.00047137	471.37	1	2
26.2005	9	1	32	FullDelay	21.6005	2.16005e+07	5	2
27.1005	9	1	46	LastDelay	0.00047137	471.37	1	2
27.1005	9	1	46	FullDelay	17.2005	1.72005e+07	4	2
27.4006	9	1	50	LastDelay	0.000636968	636.968	1	4
27.4006	9	1	50	FullDelay	13.4006	1.34006e+07	3	4
28.3047	9	1	59	LastDelay	0.00472553	4725.53	1	10
28.3047	9	1	59	FullDelay	13.4047	1.34047e+07	3	10
28.4005	9	1	60	LastDelay	0.00047129	471.29	1	2
28.4005	9	1	60	FullDelay	13.4005	1.34005e+07	3	2
28.7005	9	1	64	LastDelay	0.00047129	471.29	1	2
28.7005	9	1	64	FullDelay	13.3005	1.33005e+07	3	2
31.5063	9	1	93	LastDelay	0.00629779	6297.79	1	10
31.5063	9	1	93	FullDelay	8.1063	8.1063e+06	2	10
32.5086	12	1	72	LastDelay	0.00863879	8638.79	1	8
32.5086	12	1	72	FullDelay	17.8086	1.78086e+07	3	8
32.8012	9	1	108	LastDelay	0.00123854	1238.54	1	4
32.8012	9	1	108	FullDelay	0.00123854	1238.54	1	4
34.0022	12	1	88	LastDelay	0.00224639	2246.39	1	4
34.0022	12	1	88	FullDelay	17.7022	1.77022e+07	3	4
37.3055	9	1	71	LastDelay	0.00545058	5450.58	1	5
37.3055	9	1	71	FullDelay	16.1055	1.61055e+07	3	5
38.0126	12	1	131	LastDelay	0.0125949	12594.9	1	7
38.0126	12	1	131	FullDelay	0.0125949	12594.9	1	7
38.5009	9	1	83	LastDelay	0.000929009	929.009	1	3
38.5009	9	1	83	FullDelay	16.1009	1.61009e+07	3	3
41.0006	9	1	112	LastDelay	0.000554988	554.988	1	3
41.0006	9	1	112	FullDelay	0.000554988	554.988	1	3
41.8058	9	1	15	LastDelay	0.00578715	5787.15	1	7
41.8058	9	1	15	FullDelay	38.9058	3.89058e+07	7	7
42.9064	3	1	423	LastDelay	0.00642435	6424.35	1	11
42.9064	3	1	423	FullDelay	0.00642435	6424.35	1	11
44.7006	12	1	75	LastDelay	0.000637556	637.556	1	4
44.7006	12	1	75	FullDelay	29.7006	2.97006e+07	4	4
44.8039	9	1	61	LastDelay	0.00389913	3899.13	1	13
44.8039	9	1	61	FullDelay	29.7039	2.97039e+07	5	13
45.5039	9	1	72	LastDelay	0.00387531	3875.32	1	7
45.5039	9	1	72	FullDelay	24.2039	2.42039e+07	4	7
46.5005	9	1	82	LastDelay	0.00047137	471.37	1	2
46.5005	9	1	82	FullDelay	24.2005	2.42005e+07	4	2
48.5005	9	1	105	LastDelay	0.00047137	471.37	1	2
48.5005	9	1	105	FullDelay	16.0005	1.60005e+07	3	2
48.9069	9	1	110	LastDelay	0.00689901	6899.01	1	5
48.9069	9	1	110	FullDelay	8.1069	8.1069e+06	2	5
49.8005	9	1	121	LastDelay	0.00047137	471.37	1	2
49.8005	9	1	121	FullDelay	0.00047137	471.37	1	2
52.1046	9	1	40	LastDelay	0.00460807	4608.07	1	7
52.1046	9	1	40	FullDelay	46.7046	4.67046e+07	8	7
53.2008	9	1	56	LastDelay	0.000793371	793.371	1	5
53.2008	9	1	56	FullDelay	38.6008	3.86008e+07	6	5
53.9109	12	1	34	LastDelay	0.0108992	10899.2	1	6
53.9109	12	1	34	FullDelay	48.0109	4.80109e+07	6	6
54.8005	9	1	80	LastDelay	0.00047053	470.53	1	2
54.8005	9	1	80	FullDelay	32.7005	3.27005e+07	5	2
57.2005	3	1	13	LastDelay	0.000549691	549.691	1	3
57.2005	3	1	13	FullDelay	55.8005	5.58005e+07	3	3
59.0005	9	1	132	LastDelay	0.00047137	471.37	1	2
59.0005	9	1	132	FullDelay	0.00047137	471.37	1	2
59.1005	9	1	1	LastDelay	0.00047137	471.37	1	2
