Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
4.90223	10	1	13	LastDelay	0.152233	152233	1	10
4.90223	10	1	13	FullDelay	4.00223	4.00223e+06	4	10
5.05175	10	1	21	LastDelay	0.00174971	1749.71	1	7
5.05175	10	1	21	FullDelay	3.75175	3.75175e+06	3	7
5.05175	5	1	21	LastDelay	1.30175	1.30175e+06	1	7
5.05175	5	1	21	FullDelay	3.75175	3.75175e+06	2	7
5.05593	15	1	78	LastDelay	1.00593	1.00593e+06	1	12
5.05593	15	1	78	FullDelay	1.00593	1.00593e+06	1	12
5.05717	5	1	78	LastDelay	0.00717137	7171.37	1	11
5.05717	5	1	78	FullDelay	0.00717137	7171.37	1	11
5.10062	10	1	22	LastDelay	0.000624964	624.964	1	4
5.10062	10	1	22	FullDelay	3.75062	3.75062e+06	3	4
5.15206	10	1	14	LastDelay	0.352064	352064	1	8
5.15206	10	1	14	FullDelay	4.20206	4.20206e+06	4	8
5.50453	10	1	32	LastDelay	0.00452906	4529.06	1	10
5.50453	10	1	32	FullDelay	2.75453	2.75453e+06	3	10
5.5571	10	1	33	LastDelay	0.00710314	7103.14	1	20
5.5571	10	1	33	FullDelay	2.7571	2.7571e+06	3	20
6.00171	10	1	47	LastDelay	0.0017149	1714.9	1	8
6.00171	10	1	47	FullDelay	0.0017149	1714.9	1	8
6.05315	10	1	15	LastDelay	0.00315075	3150.75	1	5
6.05315	10	1	15	FullDelay	5.05315	5.05315e+06	5	5
6.05462	5	1	15	LastDelay	2.55462	2.55462e+06	1	6
6.05462	5	1	15	FullDelay	5.05462	5.05462e+06	2	6
6.05462	15	1	15	LastDelay	0.854615	854615	1	6
6.05462	15	1	15	FullDelay	5.30462	5.30462e+06	2	6
6.15111	10	1	19	LastDelay	0.001115	1115	1	3
6.15111	10	1	19	FullDelay	4.95111	4.95112e+06	5	3
6.20769	10	1	20	LastDelay	0.00769208	7692.08	1	13
6.20769	10	1	20	FullDelay	4.95769	4.95769e+06	5	13
6.30443	10	1	37	LastDelay	0.704432	704432	1	13
6.30443	10	1	37	FullDelay	3.30443	3.30443e+06	2	13
6.30601	5	1	37	LastDelay	0.506011	506011	1	13
6.30601	5	1	37	FullDelay	4.15601	4.15601e+06	2	13
6.35417	5	1	50	LastDelay	0.00416966	4169.66	1	7
6.35417	5	1	50	FullDelay	3.50417	3.50417e+06	2	7
6.70307	10	1	42	LastDelay	0.00307221	3072.21	1	11
6.70307	10	1	42	FullDelay	0.953072	953072	2	11
6.70307	5	1	42	LastDelay	0.753073	753073	1	11
6.70307	5	1	42	FullDelay	4.30307	4.30307e+06	2	11
7.00216	10	1	51	LastDelay	0.00215517	2155.17	1	6
